title,author,publisher,page,language,discount_rate,discounted_price,price,rating,reviews,cover,paper,isbn,date,link,image;
Aylak Adam,Yusuf Atılgan,CAN YAYINLARI,192,TÜRKÇE,% 62,12.38,33.00,4,2627,Karton Kapak,Kitap Kağıdı,9789750735646,2019-08-06,https://www.kitapyurdu.com/kitap/aylak-adam/434326.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11438831/wi:100/wh:true;
Delifişek,Jose Mauro De Vasconcelos,CAN YAYINLARI,88,TÜRKÇE,% 64,9.42,26.00,5,3541,Karton Kapak,3. Hm. Kağıt,9789750724787,2019-08-06,https://www.kitapyurdu.com/kitap/delifisek/13565.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11482568/wi:100/wh:true;
Pal Sokağı Çocukları,Ferenc Molnar,YAPI KREDİ YAYINLARI,235,TÜRKÇE,% 40,17.96,30.00,5,3026,Karton Kapak,Kitap Kağıdı,9789750815546,2021-10-08,https://www.kitapyurdu.com/kitap/pal-sokagi-cocuklari/125370.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1030555/wi:100/wh:true;
İnce Memed 1,Yaşar Kemal,YAPI KREDİ YAYINLARI,436,TÜRKÇE,% 49,22.95,45.00,5,3677,Karton Kapak,Kitap Kağıdı,9789750807145,2021-12-27,https://www.kitapyurdu.com/kitap/ince-memed-1/57300.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:6663013/wi:100/wh:true;
Babaannem Geri Döndü,Şermin Yaşar,TAZE KİTAP,160,TÜRKÇE,% 37,39.22,62.00,5,245,Karton Kapak,Kitap Kağıdı,9786057480927,2021-04-12,https://www.kitapyurdu.com/kitap/babaannem-geri-dondu/578116.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11396589/wi:100/wh:true;
İyileşen Evliliğim,Hatice Kübra Tongar,HAYY KİTAP,200,TÜRKÇE,% 40,19.18,32.00,5,111,Karton Kapak,Kitap Kağıdı,9786257479554,2021-10-25,https://www.kitapyurdu.com/kitap/iyilesen-evliligim/597416.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11469116/wi:100/wh:true;
Gerçek Tıp & Yitik Şifanın İzinde,Aidin Salih,YİTİK ŞİFA,432,TÜRKÇE,% 31,51.96,75.00,5,2254,Karton Kapak,Kitap Kağıdı,9786056700804,2017-02-23,https://www.kitapyurdu.com/kitap/gercek-tip-amp-yitik-sifanin-izinde/409003.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:2465557/wi:100/wh:true;
Kuyucaklı Yusuf,Sabahattin Ali,YAPI KREDİ YAYINLARI,221,TÜRKÇE,% 42,5.26,9.00,5,10224,Karton Kapak,Kitap Kağıdı,9789750800016,2019-08-06,https://www.kitapyurdu.com/kitap/kuyucakli-yusuf/62333.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1105919/wi:100/wh:true;
Tutunamayanlar / Bütün Eserleri 1,Oğuz Atay,İLETİŞİM YAYINLARI,724,TÜRKÇE,% 40,47.02,78.00,5,5528,Karton Kapak,Kitap Kağıdı,9789754700114,2022-01-27,https://www.kitapyurdu.com/kitap/tutunamayanlar--butun-eserleri-1/18252.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11462655/wi:100/wh:true;
Yüzyıllık Yalnızlık (Ciltsiz),Gabriel Garcia Marquez,CAN YAYINLARI,464,TÜRKÇE,% 47,43.91,83.00,4,5710,Karton Kapak,Kitap Kağıdı,9789750719363,2019-09-24,https://www.kitapyurdu.com/kitap/yuzyillik-yalnizlik-ciltsiz/10049.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11437413/wi:100/wh:true;
30 Günde 10 Yıl,Prof. Dr. Yavuz Yörükoğlu,HAYY KİTAP,176,TÜRKÇE,% 48,20.98,40.00,5,295,Karton Kapak,Kitap Kağıdı,9786059841337,2021-09-28,https://www.kitapyurdu.com/kitap/30-gunde-10-yil/380420.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1124212/wi:100/wh:true;
Gecikmeli Teslimiyet,M. Barış Muslu,DOĞAN KİTAP,248,TÜRKÇE,% 29,34.94,49.00,5,109,Karton Kapak,Kitap Kağıdı,9786050982800,2021-04-15,https://www.kitapyurdu.com/kitap/gecikmeli-teslimiyet/578197.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11397005/wi:100/wh:true;
Uğultulu Tepeler,Emily Bronte,CAN YAYINLARI,408,TÜRKÇE,% 65,13.28,38.00,5,1282,Karton Kapak,Kitap Kağıdı,9789750738913,2019-09-25,https://www.kitapyurdu.com/kitap/ugultulu-tepeler/485377.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11390613/wi:100/wh:true;
Sırça Köşk,Sabahattin Ali,YAPI KREDİ YAYINLARI,141,TÜRKÇE,% 46,4.31,8.00,5,5425,Karton Kapak,3. Hm. Kağıt,9789750806629,2021-09-24,https://www.kitapyurdu.com/kitap/sirca-kosk/55531.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1105934/wi:100/wh:true;
Herkes İçin Siyer 2.Cilt & Peygamberimiz'in (s.a.v.) Hayatı / Medine Dönemi,Muhammed Emin Yıldırım,PROFİL KİTAP,360,TÜRKÇE,% 39,36.36,60.00,5,217,Karton Kapak,Kitap Kağıdı,9786257637039,2021-04-09,https://www.kitapyurdu.com/kitap/herkes-icin-siyer-2cilt-amp-peygamberimizin-sav-hayati--medine-donemi/578226.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11397047/wi:100/wh:true;
Bin Dokuz Yüz Seksen Dört - 1984 ,George Orwell,KAPRA YAYINCILIK,296,TÜRKÇE,% 23,6.90,9.00,5,286,Karton Kapak,Kitap Kağıdı,9786257300117,2021-01-05,https://www.kitapyurdu.com/kitap/bin-dokuz-yuz-seksen-dort--1984-/567810.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11338358/wi:100/wh:true;
Semerkant,Amin Maalouf,YAPI KREDİ YAYINLARI,318,TÜRKÇE,% 43,22.98,40.00,5,5671,Karton Kapak,Kitap Kağıdı,9789750810039,2021-09-23,https://www.kitapyurdu.com/kitap/semerkant/12196.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1135132/wi:100/wh:true;
Huzursuzluk,Zülfü Livaneli,DOĞAN KİTAP,160,TÜRKÇE,% 41,15.45,26.00,5,7596,Karton Kapak,Kitap Kağıdı,9786050939828,2018-11-02,https://www.kitapyurdu.com/kitap/huzursuzluk/413373.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:2876841/wi:100/wh:true;
Hayat Kaybettiğin Yerden Başlar,Miraç Çağrı Aktaş,İNDİGO KİTAP,200,TÜRKÇE,% 31,23.46,34.00,4,89,Karton Kapak,Kitap Kağıdı,9786257671293,2021-04-19,https://www.kitapyurdu.com/kitap/hayat-kaybettigin-yerden-baslar/578806.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11398900/wi:100/wh:true;
Çavdar Tarlasında Çocuklar,J. D. Salinger,YAPI KREDİ YAYINLARI,198,TÜRKÇE,% 37,18.98,30.00,4,5579,Karton Kapak,3. Hm. Kağıt,9789753636360,2019-08-20,https://www.kitapyurdu.com/kitap/cavdar-tarlasinda-cocuklar/12236.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:6532396/wi:100/wh:true;
Dura Mater,Serkan Karaismailoğlu,ELMA YAYINEVİ,560,TÜRKÇE,% 39,42.23,69.00,5,246,Karton Kapak,Kitap Kağıdı,9786257112376,2021-08-20,https://www.kitapyurdu.com/kitap/dura-mater/590152.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11447393/wi:100/wh:true;
Diriliş Neslinin Amentüsü,Sezai Karakoç,DİRİLİŞ YAYINLARI,68,TÜRKÇE,% 36,15.90,25.00,5,3136,Karton Kapak,Kitap Kağıdı,9789123494293,2012-03-01,https://www.kitapyurdu.com/kitap/dirilis-neslinin-amentusu/6522.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:100047/wi:100/wh:true;
İyileşen Çocukluğum İyileşen Anneliğim,Hatice Kübra Tongar,HAYY KİTAP,192,TÜRKÇE,% 40,22.20,37.00,5,355,Karton Kapak,Kitap Kağıdı,9786257909839,2020-10-12,https://www.kitapyurdu.com/kitap/iyilesen-cocuklugum-iyilesen-anneligim/557616.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11287080/wi:100/wh:true;
