title,author,publisher,page,language,discount_rate,discounted_price,price,rating,reviews,cover,paper,isbn,date,link,image;
Aşkın Metafiziği (Cep Boy) (Tam Metin),Arthur Schopenhauer,KARBON KİTAPLAR,70,TÜRKÇE,% 44,3.90,7.00,4,37,Karton Kapak,Kitap Kağıdı,9786257109031,2020-05-08,https://www.kitapyurdu.com/kitap/askin-metafizigi-cep-boy-tam-metin/540927.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11446665/wi:100/wh:true;
Numeroloji Kitabı,Melis Aygen,PİKA,640,TÜRKÇE,% 35,45.45,70.00,5,5,Karton Kapak,Kitap Kağıdı,9786057011237,2021-07-30,https://www.kitapyurdu.com/kitap/numeroloji-kitabi/579735.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11518061/wi:100/wh:true;
Kitabü'l Edeb,Ebu davud Süleyman b. Eş'as Es-Sicistani,ŞAMİL YAYINLARI İSTANBUL,736,TÜRKÇE,% 37,113.40,180.00,5,30,Ciltli,Şamuha Kağıt,9789759068561,2013-11-18,https://www.kitapyurdu.com/kitap/kitabul-edeb/323754.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:83384/wi:100/wh:true;
Sessizliğin Yanıtı & Bir Dağ Hikayesi,Max Frisch,KOLEKTİF KİTAP,96,TÜRKÇE,% 34,21.12,32.00,5,45,Karton Kapak,Kitap Kağıdı,9786052205402,2019-06-14,https://www.kitapyurdu.com/kitap/sessizligin-yaniti-amp-bir-dag-hikayesi/506537.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9006762/wi:100/wh:true;
Kuruluş Dönemi Osmanlı Sultanları (1302-1481),Prof. Dr. Halil İnalcık,İSAM / İSLAM ARAŞTIRMALARI MERKEZİ,262,TÜRKÇE,% 20,36.00,45.00,5,242,Karton Kapak,Kitap Kağıdı,9789753898997,2010-03-01,https://www.kitapyurdu.com/kitap/kurulus-donemi-osmanli-sultanlari-13021481/150349.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1106841/wi:100/wh:true;
Sincap Simi ve Sevimli Dostları - Bu Kocaman Gözler Kimin?,Asiye Aslı Aslaner,SİNCAP KİTAP,10,TÜRKÇE,% 30,28.00,40.00,5,47,Ciltli,Kitap Kağıdı,9786053050315,2019-07-05,https://www.kitapyurdu.com/kitap/sincap-simi-ve-sevimli-dostlari--bu-kocaman-gozler-kimin/460651.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5906603/wi:100/wh:true;
Peygamberimizin Mucizeleri,Nurdan Damla,TİMAŞ ÇOCUK YAYINLARI,160,TÜRKÇE,% 30,26.24,37.50,5,30,Karton Kapak,Kitap Kağıdı,9786050830156,2019-08-01,https://www.kitapyurdu.com/kitap/peygamberimizin-mucizeleri/510033.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9353316/wi:100/wh:true;
Mimoza Sürgünü,Prof. Dr. Nazan Bekiroğlu,TİMAŞ YAYINLARI,280,TÜRKÇE,% 30,38.50,55.00,4,603,Karton Kapak,Kitap Kağıdı,9786050812350,2020-02-26,https://www.kitapyurdu.com/kitap/mimoza-surgunu/318036.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11321292/wi:100/wh:true;
Haşlanmış Harikalar Diyarı ve Dünyanın Sonu,Haruki Murakami,DOĞAN KİTAP,564,TÜRKÇE,% 26,62.50,84.00,5,280,Karton Kapak,Kitap Kağıdı,9786051119632,2015-12-14,https://www.kitapyurdu.com/kitap/haslanmis-harikalar-diyari-ve-dunyanin-sonu/248495.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:174155/wi:100/wh:true;
Atatürk / Bir Milletin Yeniden Doğuşu,Lord Kinross,ALTIN KİTAPLAR,592,TÜRKÇE,% 35,55.15,85.00,5,353,Karton Kapak,3. Hm. Kağıt,9789754050356,2018-11-09,https://www.kitapyurdu.com/kitap/ataturk--bir-milletin-yeniden-dogusu/3036.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10500669/wi:100/wh:true;
Cereyanlar & Türkiye’de Siyasi İdeolojiler,Tanıl Bora,İLETİŞİM YAYINLARI,926,TÜRKÇE,% 27,95.16,130.00,5,160,Ciltli,Kitap Kağıdı,9789750521188,2021-09-02,https://www.kitapyurdu.com/kitap/cereyanlar-amp-turkiyede-siyasi-ideolojiler/413349.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11451952/wi:100/wh:true;
Büyük Atatürk'ten Küçük Öyküler,Süleyman Bulut,CAN YAYINLARI,624,TÜRKÇE,% 42,41.74,71.50,5,107,Karton Kapak,Kitap Kağıdı,9789750738623,2021-09-21,https://www.kitapyurdu.com/kitap/buyuk-ataturkten-kucuk-oykuler/476762.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11205373/wi:100/wh:true;
Yaratılıştaki Sırlar & El-Hikmetu Fi Mahlûkatillah,İmam-ı Gazali,ÇELİK YAYINEVİ,136,TÜRKÇE,% 45,14.85,27.00,5,32,Karton Kapak,Kitap Kağıdı,9786057916723,2020-04-10,https://www.kitapyurdu.com/kitap/yaratilistaki-sirlar-amp-elhikmetu-fi-mahlkatillah/538589.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11199723/wi:100/wh:true;
TED Gibi Konuş & Dünyanın En İyi Beyinlerine Göre Topluluk Önünde Konuşmanın 9 Sırrı,Carmine Gallo,AGANTA KİTAP,280,TÜRKÇE,% 31,48.30,70.00,4,144,Karton Kapak,Kitap Kağıdı,9786059851558,2017-02-06,https://www.kitapyurdu.com/kitap/ted-gibi-konus-amp-dunyanin-en-iyi-beyinlerine-gore-topluluk-onunde-konusmanin-9-sirri/377399.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11244267/wi:100/wh:true;
Mutluluk Kürleri 2,Dr. Ümit  Aktaş,HAYY KİTAP,352,TÜRKÇE,% 40,30.00,50.00,5,131,Karton Kapak,Kitap Kağıdı,9786052214619,2021-04-28,https://www.kitapyurdu.com/kitap/mutluluk-kurleri-2/491166.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:7930752/wi:100/wh:true;
Kayı X - II. Abdülhamid Han,Prof.Dr. Ahmet Şimşirgil,TİMAŞ YAYINLARI,336,TÜRKÇE,% 30,38.50,55.00,5,516,Karton Kapak,Kitap Kağıdı,9786050827781,2020-01-11,https://www.kitapyurdu.com/kitap/kayi-x--ii-abdulhamid-han/453664.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10711102/wi:100/wh:true;
Henüz 17 Yaşında,Ahmet Mithat Efendi,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,236,TÜRKÇE,% 21,14.30,18.00,5,192,Karton Kapak,Kitap Kağıdı,9786257999458,2020-02-04,https://www.kitapyurdu.com/kitap/henuz-17-yasinda/530947.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10890090/wi:100/wh:true;
Paranın Yükselişi & Dünyanın Finansal Tarihi,Niall Ferguson,YAPI KREDİ YAYINLARI,319,TÜRKÇE,% 34,23.76,36.00,5,121,Karton Kapak,Kitap Kağıdı,9789750820984,2019-01-25,https://www.kitapyurdu.com/kitap/paranin-yukselisi-amp-dunyanin-finansal-tarihi/262909.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1014966/wi:100/wh:true;
Gençlerle Namaz,Ahmet Bulut,TİMAŞ YAYINLARI,176,TÜRKÇE,% 30,24.50,35.00,5,75,Karton Kapak,Kitap Kağıdı,9786050825121,2019-04-17,https://www.kitapyurdu.com/kitap/genclerle-namaz/369263.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:3876677/wi:100/wh:true;
Müfettiş (Karton Kapak),Nikolay Vasilievich Gogol,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,129,TÜRKÇE,% 35,7.80,12.00,5,373,Karton Kapak,Kitap Kağıdı,9789944887359,2019-03-11,https://www.kitapyurdu.com/kitap/mufettis-karton-kapak/138883.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:108590/wi:100/wh:true;
Tembel miyim? Dahi mi? / Tuş Beyinli 6,Yusuf Asal,NESİL ÇOCUK YAYINLARI,208,TÜRKÇE,% 40,30.00,50.00,5,36,Ciltli,Kitap Kağıdı,9786051835495,2019-11-14,https://www.kitapyurdu.com/kitap/tembel-miyim-dahi-mi--tus-beyinli-6/521579.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10243092/wi:100/wh:true;
Ölümü İnkar,Ernest Becker,İZ YAYINCILIK,416,TÜRKÇE,% 34,38.94,59.00,5,29,Karton Kapak,Kitap Kağıdı,9786053264798,2020-11-20,https://www.kitapyurdu.com/kitap/olumu-inkar/563293.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11318710/wi:100/wh:true;
Siyasetname,Nizamül Mülk,DERGAH YAYINLARI,294,TÜRKÇE,% 25,30.00,40.00,5,249,Karton Kapak,Kitap Kağıdı,9789759953799,2017-09-01,https://www.kitapyurdu.com/kitap/siyasetname/56026.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1427023/wi:100/wh:true;
Kırmızı Azap,Ayfer Tunç,CAN YAYINLARI,152,TÜRKÇE,% 46,21.45,40.00,5,126,Karton Kapak,Kitap Kağıdı,9789750721847,2018-11-28,https://www.kitapyurdu.com/kitap/kirmizi-azap/341394.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11435776/wi:100/wh:true;
Cotturuk Defterleri,Pınar Öğünç,CAN ÇOCUK YAYINLARI,72,TÜRKÇE,% 35,19.50,30.00,5,45,Karton Kapak,Kitap Kağıdı,9789750741241,2019-10-01,https://www.kitapyurdu.com/kitap/cotturuk-defterleri/515283.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11248737/wi:100/wh:true;
Çocukluk Aşkımsın ,Nazmi Hasdemir,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),260,TÜRKÇE,%0,51.00,51.00,5,9,Karton Kapak,Kitap Kağıdı,9786257811040,2020-08-11,https://www.kitapyurdu.com/kitap/cocukluk-askimsin-/549647.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11259873/wi:100/wh:true;
Dünyayı Değiştirebilirsin,Lucy  Bell,ERDEM ÇOCUK YAYINLARI,224,TÜRKÇE,% 30,45.50,65.00,5,6,Karton Kapak,Kitap Kağıdı,9786052792919,2021-08-23,https://www.kitapyurdu.com/kitap/dunyayi-degistirebilirsin/590428.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11449031/wi:100/wh:true;
Matematik Kemirgenleri / Matematiğin Kaç Canı Var? 2,Merve Uygun,CEZVE ÇOCUK,168,TÜRKÇE,% 29,29.00,41.00,5,29,Karton Kapak,Kitap Kağıdı,9786052297636,2020-02-17,https://www.kitapyurdu.com/kitap/matematik-kemirgenleri--matematigin-kac-cani-var-2/532529.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10999842/wi:100/wh:true;
Ormanın Kalbindeki Çocuk,John Boyne,TUDEM YAYINEVİ,208,TÜRKÇE,% 34,28.38,43.00,5,104,Karton Kapak,Kitap Kağıdı,9786052853085,2016-08-16,https://www.kitapyurdu.com/kitap/ormanin-kalbindeki-cocuk/401258.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1425872/wi:100/wh:true;
Paris’ten Çiçeklerle,Sarah Jio,PENA YAYINLARI,344,TÜRKÇE,% 34,42.90,65.00,5,642,Karton Kapak,Kitap Kağıdı,9786057976017,2018-09-20,https://www.kitapyurdu.com/kitap/paristen-ciceklerle/473107.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:6955371/wi:100/wh:true;
Bağırmayan Anne Baba Olmak,Hal Edward Runkel,AGANTA KİTAP,182,TÜRKÇE,% 31,27.60,40.00,4,227,Karton Kapak,Kitap Kağıdı,9786059851985,2017-04-14,https://www.kitapyurdu.com/kitap/bagirmayan-anne-baba-olmak/423361.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:3602988/wi:100/wh:true;
Vişne Bahçesi,Anton Çehov,KAPRA YAYINCILIK,72,TÜRKÇE,% 46,4.90,9.00,5,6,Karton Kapak,Kitap Kağıdı,9786257300780,2021-02-09,https://www.kitapyurdu.com/kitap/visne-bahcesi/572300.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11361981/wi:100/wh:true;
Üç Kaçak Yolcu,Yavuz Bahadıroğlu,NESİL ÇOCUK YAYINLARI,96,TÜRKÇE,% 40,12.00,20.00,5,122,Karton Kapak,Kitap Kağıdı,9789758499519,2022-02-11,https://www.kitapyurdu.com/kitap/uc-kacak-yolcu/80507.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11521910/wi:100/wh:true;
Kökenler: Yeryüzünün Tarihi İnsanlık Tarihini Nasıl Şekillendirdi?,Lewis Dartnell,TELLEKT,352,TÜRKÇE,% 48,38.30,74.00,5,35,Karton Kapak,Kitap Kağıdı,9786257118057,2020-11-10,https://www.kitapyurdu.com/kitap/kokenler-yeryuzunun-tarihi-insanlik-tarihini-nasil-sekillendirdi/561493.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11305218/wi:100/wh:true;
Kuşatma ve Fırtına,Leigh Bardugo,MARTI YAYINLARI,496,TÜRKÇE,% 45,32.45,59.00,5,88,Karton Kapak,Kitap Kağıdı,9786051869247,2020-06-05,https://www.kitapyurdu.com/kitap/kusatma-ve-firtina/339844.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11404044/wi:100/wh:true;
Beni Unutma Ben Sana Sevmeyi Öğrettim,Hakan Özkan,OLİMPOS YAYINLARI,224,TÜRKÇE,% 40,24.00,40.00,5,5,Karton Kapak,Kitap Kağıdı,9786257135603,2020-12-22,https://www.kitapyurdu.com/kitap/beni-unutma-ben-sana-sevmeyi-ogrettim/566032.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11328880/wi:100/wh:true;
Eddy'nin Sonu,Edouard Louis,CAN YAYINLARI,168,TÜRKÇE,% 42,23.74,41.00,5,18,Karton Kapak,Kitap Kağıdı,9789750751202,2021-05-25,https://www.kitapyurdu.com/kitap/eddynin-sonu/581942.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11415900/wi:100/wh:true;
Dahiler Sınıfı: Einstein & Sınırsız Deha,Pierdomenico Baccalario,DOMİNGO YAYINEVİ,80,TÜRKÇE,% 37,22.77,36.00,5,89,Karton Kapak,Kitap Kağıdı,9786051980133,2017-09-19,https://www.kitapyurdu.com/kitap/dahiler-sinifi-einstein-amp-sinirsiz-deha/434890.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11257805/wi:100/wh:true;
Borçlandırılmış İnsanın İmali & Neoliberal Durum Üzerine Deneme,Maurizio Lazzarato,DERGAH YAYINLARI,143,TÜRKÇE,% 20,20.00,25.00,4,16,Karton Kapak,Kitap Kağıdı,9786257005869,2020-12-18,https://www.kitapyurdu.com/kitap/borclandirilmis-insanin-imali-amp-neoliberal-durum-uzerine-deneme/566474.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11331155/wi:100/wh:true;
Misafir,Nermin Yıldırım,HEP KİTAP,332,TÜRKÇE,% 34,31.68,48.00,5,117,Karton Kapak,Kitap Kağıdı,9786051922454,2018-11-03,https://www.kitapyurdu.com/kitap/misafir/476784.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:7328940/wi:100/wh:true;
Üç Kız Kardeş,Anton Çehov,KAPRA YAYINCILIK,86,TÜRKÇE,% 46,4.90,9.00,5,8,Karton Kapak,Kitap Kağıdı,9786257300537,2021-01-26,https://www.kitapyurdu.com/kitap/uc-kiz-kardes/570627.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11353194/wi:100/wh:true;
Çocuklar Nasıl Başarır?,Mümin Sekman,ALFA YAYINLARI,296,TÜRKÇE,% 31,26.91,39.00,5,116,Karton Kapak,Kitap Kağıdı,9786051716022,2021-08-10,https://www.kitapyurdu.com/kitap/cocuklar-nasil-basarir/439653.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11440418/wi:100/wh:true;
2022 KPSS Genel Kültür Genel Yetenek Ezberbozan 3 Deneme,Kolektif,PEGEM AKADEMİ YAYINCILIK-SINAV KİTAPLARI,72,TÜRKÇE,% 44,14.06,25.00,5,14,Karton Kapak,1. Hm. Kağıt,9780202166551,2021-12-17,https://www.kitapyurdu.com/kitap/2022-kpss-genel-kultur-genel-yetenek-ezberbozan-3-deneme/603345.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11497383/wi:100/wh:true;
Mavi Bilet,Sophie Mackintosh,CAN YAYINLARI,248,TÜRKÇE,% 48,27.95,54.00,5,23,Karton Kapak,Kitap Kağıdı,9789750746994,2020-10-20,https://www.kitapyurdu.com/kitap/mavi-bilet/559207.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11395171/wi:100/wh:true;
Konuk Değil Baş Belası,Christine Nöstlinger,GÜNIŞIĞI KİTAPLIĞI,166,TÜRKÇE,% 30,22.40,32.00,5,75,Karton Kapak,3. Hm. Kağıt,9789758142903,2019-11-04,https://www.kitapyurdu.com/kitap/konuk-degil-bas-belasi/55195.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1131374/wi:100/wh:true;
Yılların İzi,Mahir İz,KİTABEVİ,572,TÜRKÇE,% 32,40.80,60.00,5,102,Karton Kapak,Kitap Kağıdı,9789757321903,2019-05-01,https://www.kitapyurdu.com/kitap/yillarin-izi/21879.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:100533/wi:100/wh:true;
Kanatsız Arı Mu,Ahmet Şerif İzgören,ELMA YAYINEVİ,40,TÜRKÇE,% 32,19.68,29.00,5,133,Karton Kapak,Kitap Kağıdı,9786059795029,2019-03-07,https://www.kitapyurdu.com/kitap/kanatsiz-ari-mu/387687.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1142872/wi:100/wh:true;
Alıştırmalarla Matematik - 2,Şenol Aydın,ŞENOL HOCA YAYINLARI,224,TÜRKÇE,% 22,38.22,49.00,0,0,Karton Kapak,Kitap Kağıdı,9786057426796,2021-07-08,https://www.kitapyurdu.com/kitap/alistirmalarla-matematik--2/587088.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11434602/wi:100/wh:true;
İlk Dokun Hisset Kitabım - Ormana Dokun,Melek Dinçer,SİNCAP KİTAP,12,TÜRKÇE,% 31,51.56,75.00,5,8,Karton Kapak,Kitap Kağıdı,9786057018465,2021-05-05,https://www.kitapyurdu.com/kitap/ilk-dokun-hisset-kitabim--ormana-dokun/580528.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11407431/wi:100/wh:true;
Beyin Sizsiniz 5.0 &  Metaverse  Holistik Çağ,Prof. Dr. İsmail Hakkı Aydın,GİRDAP KİTAP,336,TÜRKÇE,% 42,28.67,49.00,5,11,Karton Kapak,Kitap Kağıdı,9786057113818,2022-01-22,https://www.kitapyurdu.com/kitap/beyin-sizsiniz-50-amp--metaverse--holistik-cag/606112.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11510631/wi:100/wh:true;
Kasiyer,Sayaka Murata,TURKUVAZ KİTAP,126,TÜRKÇE,% 30,16.10,23.00,5,125,Karton Kapak,Kitap Kağıdı,9786057717313,2019-11-01,https://www.kitapyurdu.com/kitap/kasiyer/518357.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10053164/wi:100/wh:true;
Kutuplardaki Hayvanlar / Sevimli Dostlarımıza Sorular,Işıl Erverdi,KUMDAN KALE YAYINLARI,16,TÜRKÇE,% 31,11.73,17.00,5,79,Karton Kapak,Kuşe Kağıt,9786059267106,2020-11-05,https://www.kitapyurdu.com/kitap/kutuplardaki-hayvanlar--sevimli-dostlarimiza-sorular/438443.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11305272/wi:100/wh:true;
Baloncu Dede ve Üç Küçük Yaramaz,Feridun Oral,YAPI KREDİ YAYINLARI,28,TÜRKÇE,% 34,19.80,30.00,4,105,Karton Kapak,Kitap Kağıdı,9789750817236,2019-01-24,https://www.kitapyurdu.com/kitap/baloncu-dede-ve-uc-kucuk-yaramaz/143095.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:37535/wi:100/wh:true;
Ses,Sabahattin Ali,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,68,TÜRKÇE,% 21,7.94,10.00,5,123,Karton Kapak,Kitap Kağıdı,9786257070492,2020-06-11,https://www.kitapyurdu.com/kitap/ses/542775.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11235722/wi:100/wh:true;
Yeryüzüne Övgü,Byung-Chul Han,İNKA KİTAP,152,TÜRKÇE,% 27,28.55,39.00,5,10,Karton Kapak,Kitap Kağıdı,9786057066411,2021-09-17,https://www.kitapyurdu.com/kitap/yeryuzune-ovgu/591965.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11453561/wi:100/wh:true;
Hannibal & Roma’nın Büyük Düşmanı,Patrick N. Hunt,KRONİK KİTAP,400,TÜRKÇE,% 37,41.11,65.00,5,133,Karton Kapak,Kitap Kağıdı,9786057635273,2020-08-31,https://www.kitapyurdu.com/kitap/hannibal-amp-romanin-buyuk-dusmani/517734.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9992437/wi:100/wh:true;
Cam Şato 4 / Gölgeler Kraliçesi (Ciltli),Sarah J. Maas,DEX KİTAP,632,TÜRKÇE,% 35,57.85,89.00,5,72,Ciltli,Kitap Kağıdı,9786050949117,2018-01-17,https://www.kitapyurdu.com/kitap/cam-sato-4--golgeler-kralicesi-ciltli/448756.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5252926/wi:100/wh:true;
Derviş'in Aklı & Prof. Ahmet Dervişoğlu ile Sohbetler,Doğan Cüceloğlu,REMZİ KİTABEVİ,312,TÜRKÇE,% 38,31.20,50.00,5,45,Karton Kapak,Kitap Kağıdı,9789751417213,2016-05-04,https://www.kitapyurdu.com/kitap/dervisin-akli-amp-prof-ahmet-dervisoglu-ile-sohbetler/394349.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1180485/wi:100/wh:true;
Bir Şeftali Bin Şeftali (Cep Boy) (Tam Metin),Samed Behrengi,KARBON KİTAPLAR,60,TÜRKÇE,% 44,3.90,7.00,5,90,Karton Kapak,Kitap Kağıdı,9786057803894,2019-09-04,https://www.kitapyurdu.com/kitap/bir-seftali-bin-seftali-cep-boy-tam-metin/512082.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11435663/wi:100/wh:true;
Türkiye Teşkilat ve İdare Tarihi,Prof. Dr. İlber Ortaylı,CEDİT NEŞRİYAT,592,TÜRKÇE,% 24,53.20,70.00,5,217,Karton Kapak,Kitap Kağıdı,9789757352105,2008-04-01,https://www.kitapyurdu.com/kitap/turkiye-teskilat-ve-idare-tarihi/103735.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:190436/wi:100/wh:true;
Unutamadıklarım & Hatıralar Işığında Cumhuriyet Tarihi Okumaları -1,Yavuz Bülent Bakiler,YAKIN PLAN YAYINLARI,256,TÜRKÇE,% 27,20.45,28.00,5,330,Karton Kapak,Kitap Kağıdı,9786055535957,2013-09-18,https://www.kitapyurdu.com/kitap/unutamadiklarim-amp-hatiralar-isiginda-cumhuriyet-tarihi-okumalari-1/316660.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:124958/wi:100/wh:true;
Büyübozumu: Yaratıcı Yazarlık,Murat Gülsoy,CAN YAYINLARI,237,TÜRKÇE,% 48,36.23,70.00,4,198,Karton Kapak,Kitap Kağıdı,9789750728310,2019-04-03,https://www.kitapyurdu.com/kitap/buyubozumu-yaratici-yazarlik/62852.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11258308/wi:100/wh:true;
Notes from the Underground,Fyodor Mihailoviç Dostoyevski,KARBON KİTAPLAR,132,İNGİLİZCE,% 50,10.56,21.12,5,206,Karton Kapak,Kitap Kağıdı,9786059681032,2016-03-04,https://www.kitapyurdu.com/kitap/notes-from-the-underground/389934.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8528565/wi:100/wh:true;
Kur’an’ı Seven Çocuk Sahabiler 5’li Set,Hatice Kübra Tongar,HAYY KİTAP,80,TÜRKÇE,% 40,42.00,70.00,0,0,Karton Kapak,1. Hm. Kağıt,9786257685740,2021-07-26,https://www.kitapyurdu.com/kitap/kurani-seven-cocuk-sahabiler-5li-set/587937.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11437152/wi:100/wh:true;
Dünyalar Savaşı,Herbert George Wells,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,264,TÜRKÇE,% 35,10.40,16.00,5,188,Karton Kapak,Kitap Kağıdı,9786052958889,2019-08-20,https://www.kitapyurdu.com/kitap/dunyalar-savasi/511276.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9475747/wi:100/wh:true;
Kabenin Oğlu Ali 1,İlknur Altıntaş,LA KİTAP,408,TÜRKÇE,% 31,41.40,60.00,4,6,Karton Kapak,Kitap Kağıdı,9786052262535,2021-05-17,https://www.kitapyurdu.com/kitap/kabenin-oglu-ali-1/574339.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11415572/wi:100/wh:true;
Sorgulayan Denemeler,Bertrand Russell,SAY YAYINLARI,256,TÜRKÇE,% 25,37.50,50.00,5,151,Karton Kapak,Kitap Kağıdı,9786050202274,2020-10-08,https://www.kitapyurdu.com/kitap/sorgulayan-denemeler/303893.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11491139/wi:100/wh:true;
En İyisini Yapmak Mümkün Mü? / Çocuklar İçin Felsefe,Özge Özdemir,REDHOUSE KIDZ YAYINLARI,40,TÜRKÇE,% 30,13.92,20.00,5,29,Karton Kapak,Kitap Kağıdı,9786052079454,2018-11-13,https://www.kitapyurdu.com/kitap/en-iyisini-yapmak-mumkun-mu--cocuklar-icin-felsefe/482406.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:7404470/wi:100/wh:true;
Halka Çörek Zinciri / Abur Cubur Peşinde,Alexander McCall Smith,GÜNIŞIĞI KİTAPLIĞI,68,TÜRKÇE,% 30,14.00,20.00,5,39,Karton Kapak,Kitap Kağıdı,9789944717236,2020-07-20,https://www.kitapyurdu.com/kitap/halka-corek-zinciri--abur-cubur-pesinde/129803.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:126734/wi:100/wh:true;
Bir Yazarın Ölümü,Hakan Nesser,İNDİE KİTAP,208,TÜRKÇE,% 35,14.30,22.00,4,53,Karton Kapak,Kitap Kağıdı,9786056968839,2019-11-29,https://www.kitapyurdu.com/kitap/bir-yazarin-olumu/523721.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11221744/wi:100/wh:true;
Gezgin,Halil Cibran,KAPRA YAYINCILIK,68,TÜRKÇE,% 46,4.90,9.00,4,9,Karton Kapak,Kitap Kağıdı,9786257784436,2020-12-21,https://www.kitapyurdu.com/kitap/gezgin/566701.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11332485/wi:100/wh:true;
Pupa Yelken / Kısmet’in Dünya Seyahati,Sadun Boro,EPONA KİTAP,368,TÜRKÇE,% 33,111.90,168.00,5,6,Karton Kapak,Kitap Kağıdı,9786257785075,2021-02-16,https://www.kitapyurdu.com/kitap/pupa-yelken--kismetin-dunya-seyahati/565576.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11366634/wi:100/wh:true;
